# OpenSignals Text File Format. Version 1
# {"00:07:80:89:7F:D7": {"position": 0, "device": "biosignalsplux", "device name": "00:07:80:89:7F:D7", "device connection": "BTH00:07:80:89:7F:D7", "sampling rate": 1000, "resolution": [16, 16], "firmware version": 776, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2022-10-27", "time": "10:10:31.372", "channels": [1, 2], "sensor": ["BVP", "EDA"], "label": ["CH1", "CH2"], "column": ["nSeq", "DI", "CH1", "CH2"], "special": [{"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}], "digital IO": [0, 1], "sleeve color": ["green", "red"], "convertedValues": 1}}
# EndOfHeader
0.0	0.0	0.10709	8.6994	
1.0	0.0	0.10588	8.6994	
2.0	0.0	0.1048	8.6868	
3.0	0.0	0.10359	8.6731	
4.0	0.0	0.10233	8.6861	
5.0	0.0	0.10097	8.699	
6.0	0.0	0.09947	8.6998	
7.0	0.0	0.09804	8.7009	
8.0	0.0	0.09674	8.6998	
9.0	0.0	0.09579	8.7029	
10.0	0.0	0.09483	8.7055	
11.0	0.0	0.09406	8.6735	
12.0	0.0	0.09294	8.699	
13.0	0.0	0.09186	8.7009	
14.0	0.0	0.09064	8.6998	
15.0	0.0	0.08937	8.7006	
16.0	0.0	0.08823	8.6922	
17.0	0.0	0.08748	8.6975	
18.0	0.0	0.08676	8.7048	
19.0	0.0	0.08609	8.7017	
20.0	0.0	0.0854	8.7063	
21.0	0.0	0.08447	8.7002	
22.0	0.0	0.0834	8.6807	
23.0	0.0	0.08249	8.6998	
24.0	0.0	0.08162	8.7059	
25.0	0.0	0.08099	8.7021	
26.0	0.0	0.08051	8.7051	
27.0	0.0	0.08009	8.7025	
28.0	0.0	0.07959	8.7048	
29.0	0.0	0.07909	8.7082	
30.0	0.0	0.07838	8.6765	
31.0	0.0	0.07755	8.704	
32.0	0.0	0.0768	8.7032	
33.0	0.0	0.07632	8.7044	
34.0	0.0	0.07603	8.7067	
35.0	0.0	0.07579	8.6823	
36.0	0.0	0.07555	8.7067	
37.0	0.0	0.0751	8.7082	
38.0	0.0	0.07443	8.7032	
39.0	0.0	0.07379	8.7093	
40.0	0.0	0.07318	8.6815	
41.0	0.0	0.07263	8.6823	
42.0	0.0	0.07243	8.6967	
43.0	0.0	0.07211	8.7051	
44.0	0.0	0.07199	8.7029	
45.0	0.0	0.07156	8.704	
46.0	0.0	0.07094	8.7051	
47.0	0.0	0.07025	8.709	
48.0	0.0	0.06967	8.7063	
49.0	0.0	0.06915	8.7135	
50.0	0.0	0.06874	8.7067	
51.0	0.0	0.06854	8.7063	
52.0	0.0	0.06815	8.7086	
53.0	0.0	0.06778	8.707	
54.0	0.0	0.06718	8.6903	
55.0	0.0	0.06657	8.7051	
56.0	0.0	0.06584	8.7029	
57.0	0.0	0.06535	8.7059	
58.0	0.0	0.06479	8.707	
59.0	0.0	0.0645	8.704	
60.0	0.0	0.06415	8.6838	
61.0	0.0	0.06369	8.7082	
62.0	0.0	0.06314	8.712	
63.0	0.0	0.06253	8.7093	
64.0	0.0	0.0619	8.7124	
65.0	0.0	0.06129	8.6811	
66.0	0.0	0.06061	8.7086	
67.0	0.0	0.06027	8.7082	
68.0	0.0	0.05988	8.7154	
69.0	0.0	0.05952	8.7059	
70.0	0.0	0.05902	8.712	
71.0	0.0	0.05843	8.7112	
72.0	0.0	0.05775	8.6967	
73.0	0.0	0.05708	8.6765	
74.0	0.0	0.05661	8.7105	
75.0	0.0	0.05618	8.7097	
76.0	0.0	0.05577	8.6899	
77.0	0.0	0.05525	8.7116	
78.0	0.0	0.05472	8.712	
79.0	0.0	0.05411	8.7086	
80.0	0.0	0.0536	8.7109	
81.0	0.0	0.05284	8.7112	
82.0	0.0	0.05219	8.6811	
83.0	0.0	0.05168	8.7116	
84.0	0.0	0.05093	8.7112	
85.0	0.0	0.05037	8.7124	
86.0	0.0	0.04984	8.7147	
87.0	0.0	0.0493	8.7128	
88.0	0.0	0.04868	8.6815	
89.0	0.0	0.04782	8.7135	
90.0	0.0	0.04713	8.7101	
91.0	0.0	0.04634	8.7166	
92.0	0.0	0.04555	8.7196	
93.0	0.0	0.04509	8.6914	
94.0	0.0	0.04449	8.7173	
95.0	0.0	0.04391	8.699	
96.0	0.0	0.04314	8.7154	
97.0	0.0	0.04251	8.7143	
98.0	0.0	0.0417	8.7215	
99.0	0.0	0.04082	8.7166	
100.0	0.0	0.04012	8.7173	
101.0	0.0	0.03923	8.7173	
102.0	0.0	0.03864	8.7143	
103.0	0.0	0.03809	8.72	
104.0	0.0	0.03751	8.7193	
105.0	0.0	0.03679	8.7173	
106.0	0.0	0.036	8.709	
107.0	0.0	0.03517	8.7204	
108.0	0.0	0.03427	8.7158	
109.0	0.0	0.0336	8.6983	
110.0	0.0	0.03311	8.7238	
111.0	0.0	0.03259	8.7269	
112.0	0.0	0.03226	8.704	
113.0	0.0	0.03166	8.7223	
114.0	0.0	0.03101	8.7181	
115.0	0.0	0.03015	8.7021	
116.0	0.0	0.02937	8.7246	
117.0	0.0	0.02875	8.7215	
118.0	0.0	0.02838	8.7246	
119.0	0.0	0.02792	8.7254	
120.0	0.0	0.02768	8.7063	
